Filesystem            Size Used Avail Use% Mounted on
/dev/block/dm-4       2.4G 2.4G   18M 100% /
tmpfs                 1.3G 2.0M  1.3G   1% /dev
tmpfs                 1.3G    0  1.3G   0% /mnt
/dev/block/dm-5       817M 816M  988K 100% /product
/dev/block/dm-6       559M 542M   17M  97% /vendor
/dev/block/dm-7       3.9M 1.4M  2.5M  36% /odm
/dev/block/dm-8       678M 185M  493M  28% /prism
/dev/block/dm-9        87M 920K   86M   2% /optics
tmpfs                 1.3G  24K  1.3G   1% /apex
/dev/block/mmcblk0p75 153M  11M  143M   8% /cache
/dev/block/mmcblk0p67  64M  29M   35M  45% /vendor/firmware_mnt
/dev/block/mmcblk0p68  64M  52M   12M  81% /vendor/firmware-modem
tmpfs                 1.3G    0  1.3G   0% /mnt/sde
/dev/block/mmcblk0p48  11M 344K   10M   4% /efs
/dev/block/mmcblk0p76  45M  24K   45M   1% /omr
/dev/block/mmcblk0p70  12M 176K   12M   2% /keydata
/dev/block/mmcblk0p69  12M 184K   12M   2% /keyrefuge
/dev/block/mmcblk0p78  52G 2.4G   50G   5% /data
/dev/block/loop4       31M  31M   28K 100% /apex/com.android.i18n@1
/dev/block/loop5      784K 756K   28K  97% /apex/com.android.tzdata@312511020
/dev/block/loop6      232K  88K  144K  38% /apex/com.android.apex.cts.shim@1
/dev/block/loop7      232K  92K  140K  40% /apex/com.samsung.android.shell@300000111
/dev/block/loop8      700K 672K   28K  96% /apex/com.google.mainline.primary.libs@331629000
/dev/block/loop9      1.8M 1.7M   28K  99% /apex/com.android.appsearch@300000000
/dev/block/loop10     280K 248K   32K  89% /apex/com.samsung.android.ipm@313460000
/dev/block/loop11      17M  17M   32K 100% /apex/com.android.vndk.v31@1
/dev/block/loop12     4.0M 4.0M   32K 100% /apex/com.android.runtime@1
/dev/block/dm-10       26M  26M   32K 100% /apex/com.android.art@331612010
/dev/block/dm-11      3.8M 3.8M   28K 100% /apex/com.android.media@331612000
/dev/block/dm-12      2.2M 2.2M   32K  99% /apex/com.android.conscrypt@331411000
/dev/block/dm-13      520K 492K   28K  95% /apex/com.android.sdkext@331410000
/dev/block/dm-14       14M  14M   28K 100% /apex/com.android.cellbroadcast@331610010
/dev/block/dm-15      3.4M 3.4M   28K 100% /apex/com.android.adbd@331610002
/dev/block/dm-16      4.4M 4.4M   28K 100% /apex/com.android.extservices@331412000
/dev/block/dm-17      3.0M 2.9M   28K 100% /apex/com.android.neuralnetworks@331310000
/dev/block/dm-18      756K 728K   28K  97% /apex/com.android.ipsec@331310000
/dev/block/dm-19       15M  15M   32K 100% /apex/com.android.media.swcodec@331612000
/dev/block/dm-20      1.2M 1.1M   32K  98% /apex/com.android.os.statsd@331610000
/dev/block/dm-21      2.8M 2.7M   28K 100% /apex/com.android.resolv@331611010
/dev/block/dm-22      9.2M 9.1M   32K 100% /apex/com.android.mediaprovider@331613010
/dev/block/dm-23      232K 104K  128K  45% /apex/com.android.scheduling@331111000
/dev/block/dm-24      5.7M 5.7M   28K 100% /apex/com.android.wifi@319999900
/dev/block/dm-25      7.1M 7.0M   32K 100% /apex/com.android.tethering@331511160
/dev/block/dm-26       16M  16M   32K 100% /apex/com.android.permission@331812010
/dev/fuse              52G 2.4G   50G   5% /storage/emulated
