MemTotal:        2882968 kB
MemFree:          122252 kB
MemAvailable:    1544432 kB
Buffers:            3012 kB
Cached:          1479708 kB
SwapCached:        13120 kB
Active:          1288600 kB
Inactive:         705428 kB
Active(anon):     205664 kB
Inactive(anon):   321544 kB
Active(file):    1082936 kB
Inactive(file):   383884 kB
Unevictable:        8504 kB
Mlocked:            8504 kB
SwapTotal:       4194300 kB
SwapFree:        3734692 kB
Dirty:               116 kB
Writeback:             0 kB
AnonPages:        517268 kB
Mapped:           428376 kB
Shmem:              8052 kB
Slab:             237172 kB
SReclaimable:      55716 kB
SUnreclaim:       181456 kB
KernelStack:       47088 kB
PageTables:        45884 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5635784 kB
Committed_AS:   30779640 kB
VmallocTotal:   263061440 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
CmaTotal:         258048 kB
CmaFree:           16316 kB
